#Time      R1        e_R1    R2        e_R2     R3       e_R3      R4     e_R4
  99.047   735.00    27.11   169.00    13.00    51.00     7.14    14.00     3.74
 100.240   642.00    25.34   182.00    13.49    47.00     6.86    20.00     4.47
 101.433   633.00    25.16   172.00    13.11    46.00     6.78    21.00     4.58
 102.627   632.00    25.14   168.00    12.96    38.00     6.16    20.00     4.47
 103.820   588.00    24.25   155.00    12.45    49.00     7.00    17.00     4.12
 105.013   631.00    25.12   148.00    12.17    55.00     7.42    17.00     4.12
 106.207   609.00    24.68   160.00    12.65    39.00     6.24    14.00     3.74
 107.400   636.00    25.22   171.00    13.08    35.00     5.92    15.00     3.87
 108.593   613.00    24.76   148.00    12.17    52.00     7.21    17.00     4.12
 109.787   562.00    23.71   147.00    12.12    43.00     6.56    10.00     3.16
 110.980   583.00    24.15   142.00    11.92    52.00     7.21    17.00     4.12
 112.173   539.00    23.22   137.00    11.70    45.00     6.71    24.00     4.90
 113.367   544.00    23.32   150.00    12.25    36.00     6.00    15.00     3.87
 114.560   514.00    22.67   137.00    11.70    38.00     6.16    13.00     3.61
 115.753   536.00    23.15   147.00    12.12    37.00     6.08    16.00     4.00
 116.947   524.00    22.89   118.00    10.86    47.00     6.86    25.00     5.00
 118.140   488.00    22.09   120.00    10.95    36.00     6.00    15.00     3.87
