#  Time      R1      e_R1      R2      e_R2       R3     e_R3      R4       e_R4
 101.433    27.00     5.20     9.00     3.00     3.00     1.73     1.00     2.00
 102.627    34.00     5.83     6.00     2.45     1.00     2.00     1.00     2.00
 103.820    30.00     5.48     2.00     1.41     4.00     2.00     2.00     1.41
 105.013    20.00     4.47     8.00     2.83     1.00     2.00     0.10     5.00
 106.207    27.00     5.20     6.00     2.45     4.00     2.00     1.00     2.00
 107.400    28.00     5.29     4.00     2.00     3.00     1.73     0.10     5.00
 108.593    22.00     4.69     4.00     2.00     1.00     2.00     1.00     2.00
 109.787    23.00     4.80     6.00     2.45     3.00     1.73     0.10     5.00
 110.980    20.00     4.47     3.00     1.73     1.00     2.00     1.00     2.00
 112.173    29.00     5.39     8.00     2.83     1.00     2.00     0.10     5.00
 113.367    15.00     3.87     4.00     2.00     2.00     1.41     0.10     5.00
 114.560    12.00     3.46     5.00     2.24     3.00     1.73     0.10     5.00
 115.753    17.00     4.12     1.00     2.00     2.00     1.41     0.10     5.00
 116.947    19.00     4.36     9.00     3.00     0.10     5.00     1.00     2.00
 118.140    19.00     4.36     8.00     2.83     3.00     1.73     0.10     5.00
